file,class,speckle,small_clusters,color_regions,edge_density
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1100.png,world_24x24,12,15,26,0.5833
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1101.png,world_24x24,5,10,19,0.5035
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1102.png,world_24x24,14,22,33,0.5017
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1103.png,world_24x24,7,10,21,0.5747
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1104.png,world_24x24,6,6,20,0.5885
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1105.png,world_24x24,15,26,39,0.4028
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1106.png,world_24x24,13,20,32,0.441
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1107.png,world_24x24,15,22,33,0.4236
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1108.png,world_24x24,13,19,31,0.5069
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1109.png,world_24x24,16,21,33,0.5365
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_111.png,world_24x24,20,41,49,0.8857
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1110.png,world_24x24,37,65,88,0.7413
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1111.png,world_24x24,43,64,86,0.7899
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1113.png,world_24x24,2,11,17,0.3167
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1114.png,world_24x24,6,17,22,0.2928
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1115.png,world_24x24,2,11,15,0.1932
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1116.png,world_24x24,7,17,23,0.3115
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1117.png,world_24x24,8,19,24,0.3059
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1118.png,world_24x24,2,11,15,0.1932
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1119.png,world_24x24,6,16,22,0.3007
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_112.png,world_24x24,23,45,50,0.8214
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1120.png,world_24x24,10,18,21,0.2029
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1121.png,world_24x24,13,24,26,0.2452
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1122.png,world_24x24,12,21,24,0.2332
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1123.png,world_24x24,7,16,19,0.2059
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1124.png,world_24x24,16,16,17,0.0909
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1125.png,world_24x24,11,11,12,0.0673
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1126.png,world_24x24,7,10,14,0.1549
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1127.png,world_24x24,9,10,14,0.1358
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1128.png,world_24x24,17,24,27,0.2171
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1129.png,world_24x24,8,17,21,0.2455
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_113.png,world_24x24,12,22,25,0.8116
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1130.png,world_24x24,10,19,23,0.2575
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1142.png,world_24x24,10,11,17,0.5312
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1143.png,world_24x24,10,11,17,0.5312
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1144.png,world_24x24,10,11,17,0.5312
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1145.png,world_24x24,4,4,10,0.3524
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1146.png,world_24x24,0,1,7,0.3906
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1147.png,world_24x24,3,3,9,0.3646
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1148.png,world_24x24,4,4,6,0.2899
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1149.png,world_24x24,12,13,24,0.6529
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1150.png,world_24x24,10,11,19,0.408
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1151.png,world_24x24,10,11,17,0.5035
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1152.png,world_24x24,12,14,20,0.4983
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1153.png,world_24x24,10,11,18,0.4826
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1154.png,world_24x24,10,13,20,0.5104
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1155.png,world_24x24,14,22,30,0.5799
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1156.png,world_24x24,10,16,25,0.5451
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1157.png,world_24x24,11,15,23,0.5347
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1158.png,world_24x24,11,18,28,0.5729
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1159.png,world_24x24,11,23,32,0.5642
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_116.png,world_24x24,13,13,18,0.4913
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1160.png,world_24x24,15,17,23,0.5017
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1161.png,world_24x24,18,23,30,0.5434
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1162.png,world_24x24,13,16,28,0.5851
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1163.png,world_24x24,13,23,35,0.5712
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1164.png,world_24x24,13,26,34,0.566
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1165.png,world_24x24,15,27,36,0.6215
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1166.png,world_24x24,11,12,18,0.4913
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1167.png,world_24x24,9,12,25,0.6605
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1168.png,world_24x24,12,28,46,0.6557
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_117.png,world_24x24,19,28,40,0.6302
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1170.png,world_24x24,0,0,1,0.0
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1171.png,world_24x24,10,10,11,0.059
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1172.png,world_24x24,11,12,16,0.1358
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1173.png,world_24x24,9,13,15,0.117
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1174.png,world_24x24,11,16,18,0.1279
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1175.png,world_24x24,7,10,13,0.1131
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1176.png,world_24x24,12,20,24,0.2251
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1177.png,world_24x24,15,25,28,0.2309
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1178.png,world_24x24,15,25,29,0.2326
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1179.png,world_24x24,21,31,34,0.256
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_118.png,world_24x24,33,51,69,0.7257
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1180.png,world_24x24,5,15,18,0.6471
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1181.png,world_24x24,5,13,17,0.7168
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1182.png,world_24x24,7,17,20,0.6723
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1183.png,world_24x24,2,11,15,0.6518
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1184.png,world_24x24,7,21,26,0.6588
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1185.png,world_24x24,8,22,28,0.659
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1186.png,world_24x24,7,21,26,0.6474
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1187.png,world_24x24,7,21,27,0.6647
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1188.png,world_24x24,12,31,34,0.5885
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1189.png,world_24x24,3,12,14,0.8542
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_119.png,world_24x24,0,0,9,0.3056
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1190.png,world_24x24,2,7,10,0.8333
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1191.png,world_24x24,3,14,15,0.9091
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1192.png,world_24x24,3,9,12,0.9286
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1193.png,world_24x24,3,6,10,0.6837
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1194.png,world_24x24,6,15,18,0.5965
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1199.png,world_24x24,15,32,38,0.6222
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_120.png,world_24x24,0,0,4,0.1597
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1200.png,world_24x24,19,37,48,0.5368
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1201.png,world_24x24,26,46,56,0.5702
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1202.png,world_24x24,16,31,42,0.5025
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1203.png,world_24x24,27,41,57,0.5728
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1204.png,world_24x24,33,46,59,0.5782
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1205.png,world_24x24,14,23,34,0.8301
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1206.png,world_24x24,13,27,34,0.5734
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1207.png,world_24x24,17,25,27,0.3264
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1208.png,world_24x24,17,29,42,0.56
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1209.png,world_24x24,19,32,42,0.4731
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_121.png,world_24x24,20,20,34,0.4774
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1210.png,world_24x24,4,19,28,0.3875
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1211.png,world_24x24,18,34,43,0.5394
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1212.png,world_24x24,29,40,52,0.5295
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1213.png,world_24x24,18,23,33,0.3775
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1214.png,world_24x24,11,25,35,0.4607
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1215.png,world_24x24,21,32,44,0.4796
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1216.png,world_24x24,16,21,32,0.3977
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1217.png,world_24x24,11,22,31,0.4549
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1218.png,world_24x24,9,26,34,0.3901
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1219.png,world_24x24,40,62,79,0.6062
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_122.png,world_24x24,1,1,3,0.2986
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1220.png,world_24x24,29,41,54,0.4374
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1221.png,world_24x24,24,40,51,0.467
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1222.png,world_24x24,22,32,44,0.4275
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1223.png,world_24x24,17,27,38,0.4329
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1224.png,world_24x24,12,20,31,0.5288
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1225.png,world_24x24,31,57,71,0.6306
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1227.png,world_24x24,2,11,17,0.3167
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1228.png,world_24x24,8,19,24,0.2972
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1229.png,world_24x24,2,11,15,0.1932
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_123.png,world_24x24,5,7,31,0.7451
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1230.png,world_24x24,10,20,26,0.3203
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1231.png,world_24x24,12,23,28,0.3124
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1232.png,world_24x24,2,11,15,0.1932
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1233.png,world_24x24,8,18,24,0.305
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1234.png,world_24x24,11,19,22,0.2008
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1235.png,world_24x24,14,25,27,0.2283
