path,game_key,asset_class,treatment,stages_run,colors_before,colors_after,lint_before_overall,lint_after_overall,final_status,triage,notes
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5098.png,shelf,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",11,9,FAIL,WARN,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""PASS"", ""A6"": ""WARN"", ""A4_color_count"": 9, ""A5_near_color_pairs"": 2, ""A6_outline_fraction"": 0.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5099.png,shelf_bottles,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",36,24,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN"", ""A4_color_count"": 24, ""A5_near_color_pairs"": 6, ""A6_outline_fraction"": 0.0149}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5100.png,shelf_bottles,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",23,15,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN"", ""A4_color_count"": 15, ""A5_near_color_pairs"": 3, ""A6_outline_fraction"": 0.3901}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5101.png,shelf_bottles,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",28,23,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN"", ""A4_color_count"": 23, ""A5_near_color_pairs"": 6, ""A6_outline_fraction"": 0.1481}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5102.png,sack,prop,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,6,6,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""PASS"", ""A4_color_count"": 6, ""A5_near_color_pairs"": 1, ""A6_outline_fraction"": 1.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5104.png,rock,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",20,19,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 19, ""A5_near_color_pairs"": 22, ""A6_outline_fraction"": 0.6667}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5105.png,rock,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",16,15,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 15, ""A5_near_color_pairs"": 14, ""A6_outline_fraction"": 0.6719}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5106.png,nightstand,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",16,11,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""PASS"", ""A6"": ""WARN"", ""A4_color_count"": 11, ""A5_near_color_pairs"": 2, ""A6_outline_fraction"": 0.6292}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5107.png,nightstand,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",21,13,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""PASS"", ""A6"": ""WARN"", ""A4_color_count"": 13, ""A5_near_color_pairs"": 1, ""A6_outline_fraction"": 0.5385}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5108.png,mushroom_cluster,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",20,16,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""PASS"", ""A6"": ""WARN"", ""A4_color_count"": 16, ""A5_near_color_pairs"": 2, ""A6_outline_fraction"": 0.1333}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5109.png,mushroom_cluster,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",26,19,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN"", ""A4_color_count"": 19, ""A5_near_color_pairs"": 5, ""A6_outline_fraction"": 0.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5110.png,puddle,decal,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,5,5,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""EXEMPT"", ""A4_color_count"": 5, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": """"}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5111.png,chest_closed,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",31,27,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 27, ""A5_near_color_pairs"": 18, ""A6_outline_fraction"": 0.4909}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5112.png,chest_open,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",53,39,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 39, ""A5_near_color_pairs"": 28, ""A6_outline_fraction"": 0.4655}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5113.png,chest_empty,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",40,31,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 31, ""A5_near_color_pairs"": 22, ""A6_outline_fraction"": 0.3667}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5114.png,chest_trapped,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",42,35,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 35, ""A5_near_color_pairs"": 36, ""A6_outline_fraction"": 0.4386}"
